"GEOID","30_R1","30_R2","30_R3","30_R4","50_R1","0_R1","50_R2","50_R3","50_R4","70_R1","70_R2","70_R3","70_R4","0_R2","0_R3","0_R4"
"01001",0,3.2e-07,7.46666666666666e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666666e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01003",0,3.2e-07,7.46666666666666e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666666e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01005",0,3.2e-07,7.46666666666667e-07,7.75466666666666e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01007",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01009",0,3.2e-07,7.46666666666667e-07,7.75466666666666e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01011",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01013",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01015",0,3.2e-07,7.46666666666666e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666666e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01017",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01019",0,3.2e-07,7.46666666666666e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666666e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01021",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
"01023",0,3.2e-07,7.46666666666667e-07,7.75466666666667e-07,0,0,5.33333333333333e-07,5.33333333333333e-07,5.81333333333333e-07,0,7.46666666666667e-07,3.2e-07,3.872e-07,0,1.06666666666667e-06,1.06666666666667e-06
